Code|State_Country
1A|ANGUILLA
1B|ARMENIA
1C|ARUBA
1D|AZERBAIJAN
1E|BOSNIA AND HERZEGOVINA
1F|BELARUS
1G|DJIBOUTI
1H|ESTONIA
1J|ERITREA
1K|MICRONESIA, FEDERATED STATES OF
1L|SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS
1M|CROATIA
1N|KYRGYZSTAN
1P|KAZAKSTAN
1Q|LITHUANIA
1R|LATVIA
1S|MOLDOVA, REPUBLIC OF
1T|MARSHALL ISLANDS
1U|MACEDONIA, THE FORMER YUGOSLAV REPUBLIC OF
1V|NORTHERN MARIANA ISLANDS
1W|NEW CALEDONIA
1X|PALESTINIAN TERRITORY, OCCUPIED
1Y|PALAU
1Z|RUSSIAN FEDERATION
2A|SLOVENIA
2B|SLOVAKIA
2C|FRENCH SOUTHERN TERRITORIES
2D|TAJIKISTAN
2E|TURKMENISTAN
2G|TUVALU
2H|UKRAINE
2J|UNITED STATES MINOR OUTLYING ISLANDS
2K|UZBEKISTAN
2L|VANUATU
2M|GERMANY
2N|CZECH REPUBLIC
2P|MAYOTTE
2Q|GEORGIA
A0|ALBERTA, CANADA
A1|BRITISH COLUMBIA, CANADA
A2|MANITOBA, CANADA
A3|NEW BRUNSWICK, CANADA
A4|NEWFOUNDLAND, CANADA
A5|NOVA SCOTIA, CANADA
A6|ONTARIO, CANADA
A7|PRINCE EDWARD ISLAND, CANADA
A8|QUEBEC, CANADA
A9|SASKATCHEWAN, CANADA
AK|ALASKA
AL|ALABAMA
AR|ARKANSAS
AZ|ARIZONA
B0|YUKON, CANADA
B1|BOTSWANA
B2|AFGHANISTAN
B3|ALBANIA
B4|ALGERIA
B5|AMERICAN SAMOA
B6|ANDORRA
B7|ANGOLA
B8|ANTARCTICA
B9|ANTIGUA AND BARBUDA
C0|UNITED ARAB EMIRATES
C1|ARGENTINA
C3|AUSTRALIA
C4|AUSTRIA
C5|BAHAMAS
C6|BAHRAIN
C7|BANGLADESH
C8|BARBADOS
C9|BELGIUM
CA|CALIFORNIA
CO|COLORADO
CT|CONNECTICUT
D0|BERMUDA
D1|BELIZE
D2|BHUTAN
D3|BOLIVIA
D4|BOUVET ISLAND
D5|BRAZIL
D6|BRITISH INDIAN OCEAN TERRITORY
D7|SOLOMON ISLANDS
D8|VIRGIN ISLANDS, BRITISH
D9|BRUNEI DARUSSALAM
DC|DISTRICT OF COLUMBIA
DE|DELAWARE
E0|BULGARIA
E1|MYANMAR
E2|BURUNDI
E3|CAMBODIA
E4|CAMEROON
E8|CAPE VERDE
E9|CAYMAN ISLANDS
F0|CENTRAL AFRICAN REPUBLIC
F1|SRI LANKA
F2|CHAD
F3|CHILE
F4|CHINA
F5|TAIWAN, PROVINCE OF CHINA
F6|CHRISTMAS ISLAND
F7|COCOS (KEELING) ISLANDS
F8|COLOMBIA
F9|COMOROS
FL|FLORIDA
G0|CONGO
G1|COOK ISLANDS
G2|COSTA RICA
G3|CUBA
G4|CYPRUS
G6|BENIN
G7|DENMARK
G8|DOMINICAN REPUBLIC
G9|DOMINICA
GA|GEORGIA
GU|GUAM
H1|ECUADOR
H2|EGYPT
H3|EL SALVADOR
H4|EQUATORIAL GUINEA
H5|ETHIOPIA
H6|FAROE ISLANDS
H7|FALKLAND ISLANDS (MALVINAS)
H8|FIJI
H9|FINLAND
HI|HAWAII
I0|FRANCE
I3|FRENCH GUIANA
I4|FRENCH POLYNESIA
I5|GABON
I6|GAMBIA
IA|IOWA
ID|IDAHO
IL|ILLINOIS
IN|INDIANA
J0|GHANA
J1|GIBRALTAR
J2|KIRIBATI
J3|GREECE
J4|GREENLAND
J5|GRENADA
J6|GUADELOUPE
J8|GUATEMALA
J9|GUINEA
K0|GUYANA
K1|HAITI
K2|HONDURAS
K3|HONG KONG
K4|HEARD ISLAND AND MCDONALD ISLANDS
K5|HUNGARY
K6|ICELAND
K7|INDIA
K8|INDONESIA
K9|IRAN, ISLAMIC REPUBLIC OF
KS|KANSAS
KY|KENTUCKY
L0|IRAQ
L2|IRELAND
L3|ISRAEL
L6|ITALY
L7|COTE D'IVOIRE
L8|JAMAICA
L9|SVALBARD AND JAN MAYEN
LA|LOUISIANA
M0|JAPAN
M2|JORDAN
M3|KENYA
M4|KOREA, DEMOCRATIC PEOPLE'S REPUBLIC OF
M5|KOREA, REPUBLIC OF
M6|KUWAIT
M7|LAO PEOPLE'S DEMOCRATIC REPUBLIC
M8|LEBANON
M9|LESOTHO
MA|MASSACHUSETTS
MD|MARYLAND
ME|MAINE
MI|MICHIGAN
MN|MINNESOTA
MO|MISSOURI
MS|MISSISSIPPI
MT|MONTANA
N0|LIBERIA
N1|LIBYAN ARAB JAMAHIRIYA
N2|LIECHTENSTEIN
N4|LUXEMBOURG
N5|MACAU
N6|MADAGASCAR
N7|MALAWI
N8|MALAYSIA
N9|MALDIVES
NC|NORTH CAROLINA
ND|NORTH DAKOTA
NE|NEBRASKA
NH|NEW HAMPSHIRE
NJ|NEW JERSEY
NM|NEW MEXICO
NV|NEVADA
NY|NEW YORK
O0|MALI
O1|MALTA
O2|MARTINIQUE
O3|MAURITANIA
O4|MAURITIUS
O5|MEXICO
O9|MONACO
OH|OHIO
OK|OKLAHOMA
OR|OREGON
P0|MONGOLIA
P1|MONTSERRAT
P2|MOROCCO
P3|MOZAMBIQUE
P4|OMAN
P5|NAURU
P6|NEPAL
P7|NETHERLANDS
P8|NETHERLANDS ANTILLES
PA|PENNSYLVANIA
PR|PUERTO RICO
Q1|VIET NAM
Q2|NEW ZEALAND
Q3|NICARAGUA
Q4|NIGER
Q5|NIGERIA
Q6|NIUE
Q7|NORFOLK ISLAND
Q8|NORWAY
R0|PAKISTAN
R1|PANAMA
R2|PAPUA NEW GUINEA
R4|PARAGUAY
R5|PERU
R6|PHILIPPINES
R8|PITCAIRN
R9|POLAND
RI|RHODE ISLAND
S0|GUINEA-BISSAU
S1|PORTUGAL
S3|QATAR
S4|REUNION
S5|ROMANIA
S6|RWANDA
S8|SAN MARINO
S9|SAO TOME AND PRINCIPE
SC|SOUTH CAROLINA
SD|SOUTH DAKOTA
T0|SAUDI ARABIA
T1|SENEGAL
T2|SEYCHELLES
T3|SOUTH AFRICA
T6|NAMIBIA
